product_class,manufacturer,product_name,report_date,assembly_location,chip_CPU,chip_GPU,chip_SoC,number_of_cores_CPU,number_of_cores_GPU,number_of_cores_SoC,hard_drive_name,hard_drive_type,hard_drive_size_gb,memory_gb,battery_capacity_mah,display_size,display_type,display_max_brightness_nits,display_refresh_rate_hz,yearly_household_energy_consumption_kWh,lifetime_years,dimension_width_cm,dimension_height_cm,dimension_depth_cm,weight_kg,gwp_total_kg_co2e,GWP_manufacturing_phase,GWP_transport_phase,GWP_use_phase,GWP_end_of_life_phase,TEC of Model (kWh),Panel Type,Native Resolution (pixels),Screen Size (inches),Screen Area (square inches),On Mode Power (watts),Sleep Mode Power (watts),Climate+,EPEAT Score,EPEAT Tier,TCO Certified
Laptop,ASUS,BR1100FKA,Oct. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,184,,,0.2,,15.1,,,,,,,FALSE,37 of 49,Gold,TCO Certified Notebooks 9
Laptop,ASUS,Chromebook CR1100,Nov. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,156,,,0.17,,,,,,,,,FALSE,37 of 49,Gold,TCO Certified Notebooks 9
Laptop,ASUS,BR1100CKA,Nov. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,172,,,0.19,,,,,,,,,FALSE,37 of 49,Gold,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B7 B7402FE,Nov. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,248,,,0.24,,17.1,,,,,,,FALSE,35 of 46,Gold,TCO Certified Notebooks 9
Laptop,ASUS,ExpertCenter E5 AiO E5402WH,Dec. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,893,0.51,,0.27,,71.4,,,,,,,,,,
Laptop,ASUS,ExpertBook B3 B3402FEA,Jan. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,272,,,0.25,,18.8,,,,,,,,,,
Laptop,ASUS,Chromebook Flip CX1 (CX1102F k),Feb. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,143,0.764,0.44,0.19,0.002,10.6,,,,,,,,,,
Laptop,ASUS,P1412,Apr. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,204,0.51,0.11,0.37,0.01,18.6,,,,,,,,,,
Laptop,ASUS,P1512,Apr. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,226,0.51,0.1,0.38,0.01,20.8,,,,,,,,,,
Laptop,ASUS,ExpertBook B9 B9400CE,July. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,220,0.78,0.03,0.189,0.001,17.1,,,,,,,FALSE,36 of 46,Gold,
Laptop,ASUS,ExpertBook B9 B9400CB,22-Aug,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,217,,0.025,0.121,0.31,12.2,,,,,,,,,,
Laptop,ASUS,Chromebook Flip CX1 (CX1500FKA),22-Aug,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,233,0.809,0.032,0.157,,14.2,,,,,,,,,,
Laptop,ASUS,ExpertCenter E1 AiO (E1600),September. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,264,,0.003,,0.001,29.9,,,,,,,,,,
Laptop,ASUS,ExpertBook L2 (L2402C),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,251,,,0.19,,17.9,,,,,,,FALSE,28 of 49,Silver,
Laptop,ASUS,ExpertBook B2 (B2402CB),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,263,0.759,,0.208,,18.3,,,,,,,FALSE,28 of 49,Silver,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B2 Flip (B2402FB),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,268,0.763,0.033,0.203,,18.3,,,,,,,FALSE,28 of 49,Silver,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B2 (B2502CB),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,293,0.788,0.03,0.181,,17.2,,,,,,,FALSE,28 of 49,Silver,
Laptop,ASUS,ExpertBook B3 Flip (B3402FE),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,296,,,0.216,,18.8,,,,,,,,,,
Laptop,ASUS,ExpertBook L2 Flip (L2402 F),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,254,,,0.188,,17.9,,,,,,,FALSE,28 of 49,Silver,
Laptop,ASUS,ExpertBook L2 (L2502C),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,292,0.805,0.03,0.164,,18.3,,,,,,,FALSE,28 of 49,Silver,
Laptop,ASUS,ExpertBook L2 Flip (L2502F),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,293,0.808,0.027,0.164,0.001,18.3,,,,,,,FALSE,28 of 49,Silver,
Laptop,ASUS,Chromebook Flip CX1 (CX1400Fk),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,175,,0.3,0.197,,13.6,,,,,,,,,,
Laptop,ASUS,Chromebook CX1 (CX1500CK),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,239,0.824,0.031,0.144,,13,,,,,,,FALSE,27 of 49,Silver,
Laptop,ASUS,Zenbook 13 OLED (UM5302T),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,237,0.777,0.043,0.179,0.001,15.8,,,,,,,FALSE,28 of 44,Silver,
Laptop,ASUS,Chromebook Flip CX5 (CX5400FM),September. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,221,,0.21,0.138,0.001,10.8,,,,,,,,,,
Laptop,ASUS,Chromebook CX1 (CX1400Ck),22-Sep,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,172,0.768,0.035,0.195,0.002,12.8,,,,,,,,,,
Laptop,ASUS,ExpertBook Bl (B1I500CB),22-Nov,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,315,,0.025,0.132,,17.5,,,,,,,FALSE,29 of 49,Silver,
Laptop,ASUS,ExpertBook B3 Flip (B3402FB),November. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,300,,,0.227,,18.4,,,,,,,FALSE,28 of 49,Silver,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B5 (B5302CB),22-Nov,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,230,,,0.242,,13.7,,,,,,,FALSE,33 of 44,Gold,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B5 Flip (B5302FB),22-Nov,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,230,,,0.242,,13.7,,,,,,,FALSE,33 of 44,Gold,TCO Certified Notebooks 9
Laptop,ASUS,ExpertBook B5 (B5402CB),22-Nov,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,270,,0.026,0.152,,15.4,,,,,,,FALSE,34 of 44,Gold,
Laptop,ASUS,ExpertBook Bl (B1I400CB),22-Nov,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,265,,,0.163,,18.3,,,,,,,FALSE,29 of 49,Silver,
